공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
철골공사,3DABG098,CT  형강,SS400-  CT-207*408*16*24mm,TN,,,,,,,,,
철골공사,3DABG099,CT  형강,SS400-  CT-204*405*18*28mm,TN,,,,,,,,,
철골공사,3DABG100,CT  형강,SS400-  CT-214*407*20*25mm,TN,,,,,,,,,
철골공사,3DABG101,CT  형강,SS400-  CT-229*417*30*50mm,TN,,,,,,,,,
철골공사,3DABG102,CT  형강,SS400-  CT-249*432*45*70mm,TN,,,,,,,,,
철골공사,3DABG103,CT  형강,SS400-  CT-223*199*8*12mm,TN,,,,,,,,,
철골공사,3DABG104,CT  형강,SS400-  CT-225*200*9*14mm,TN,,,,,,,,,
철골공사,3DABG105,CT  형강,SS400-  CT-228*201*10*17mm,TN,,,,,,,,,
철골공사,3DABG106,CT  형강,SS400-  CT-230*202*11*19mm,TN,,,,,,,,,
철골공사,3DABG107,CT  형강,SS400-  CT-217*299*10*15mm,TN,,,,,,,,,
철골공사,3DABG108,CT  형강,SS400-  CT-220*300*11*18mm,TN,,,,,,,,,
철골공사,3DABG109,CT  형강,SS400-  CT-223*302*13*21mm,TN,,,,,,,,,
철골공사,3DABG110,CT  형강,SS400-  CT-227*304*15*25mm,TN,,,,,,,,,
철골공사,3DABG111,CT  형강,SS400-  CT-248*199*9*14mm,TN,,,,,,,,,
철골공사,3DABG112,CT  형강,SS400-  CT-250*200*10*16mm,TN,,,,,,,,,
철골공사,3DABG113,CT  형강,SS400-  CT-253*201*11*19mm,TN,,,,,,,,,
철골공사,3DABG114,CT  형강,SS400-  CT-256*202*12*22mm,TN,,,,,,,,,
철골공사,3DABG115,CT  형강,SS400-  CT-241*300*11*15mm,TN,,,,,,,,,
철골공사,3DABG116,CT  형강,SS400-  CT-244*300*11*18mm,TN,,,,,,,,,
철골공사,3DABG117,CT  형강,SS400-  CT-247*302*13*21mm,TN,,,,,,,,,
